姓名		性别		学号				入学时间		学制		身份证					学院 			专业		所属班级
陈佳欣	女		202133210203	2021-09-01	4年		440321200408097701		材料与能源学院	材料化学	2班
张伟		男		202133210231	2021-09-01	4年		440305200312157712		材料与能源学院	材料化学	2班     
李娜		女		202133210207	2021-09-01	4年		440106200402217723		材料与能源学院	材料化学	2班
王芳		女		202133210222	2021-09-01	4年		440114200405057734		材料与能源学院	材料化学	2班
卢凯天	男		202133210211	2021-09-01	4年		440114200309203331		材料与能源学院	材料化学	2班
赵强		男		202125230230	2021-09-01	4年		440303200407217745		数学与信息学院	软件工程	2班       
周杰生	男		202125230229	2021-09-01	4年		440304200409307799		数学与信息学院	软件工程	2班 
林晓晓	女		202125230209	2021-09-01	4年		440307200408127812		数学与信息学院	软件工程	2班     
吴浩		男		202125230223	2021-09-01	4年		440308200311167823		数学与信息学院	软件工程	2班
王路		男		202125230226	2021-09-01	4年		440312200310167843		数学与信息学院	软件工程	2班
崔然若	女		202125230204	2021-09-01	4年		440112200309011122		数学与信息学院	软件工程	2班
何依然	女		202125230214	2021-09-01	4年		440098200304021143		数学与信息学院	软件工程	2班
杨南		男		202125230228	2021-09-01	4年		440306200303024093		数学与信息学院	软件工程	2班
陈月		女		202125230202	2021-09-01	4年		440204200203235232		数学与信息学院	软件工程	2班
骆伊鸣	男		202125230208	2021-09-01	4年		440404200306093423		数学与信息学院	软件工程	2班 
何昕		女		202125230212	2021-09-01	4年		440306200309180909		数学与信息学院	软件工程	2班 
王山		男		202125230221	2021-09-01	4年		440112200303013141		数学与信息学院	软件工程	2班              
黄婷若	女		202135350311	2021-09-01	4年		440309200403237834		经济管理学院		金融学	3班
郑辉		男		202135350332	2021-09-01	4年		440310200406307845		经济管理学院		金融学	3班
陈静		女		202135350302	2021-09-01	4年		440304200401093489		经济管理学院		金融学	3班
梁雨然	女		202135350310	2021-09-01	4年		440303200402102345		经济管理学院		金融学	3班
徐敏然	女		202135360127	2021-09-01	4年		440311200407157856		经济管理学院		会计学	1班        
高磊		男		202135360116	2021-09-01	4年		440312200410237867		经济管理学院		会计学	1班
严阳		男		202233210127	2022-09-01	4年		440309200409304124		材料与能源学院	材料化学	1班
曹风		男		202233210101	2022-09-01	4年		440112200404054231		材料与能源学院	材料化学	1班
袁奇		男		202233210128	2022-09-01	4年		440313200406155656		材料与能源学院	材料化学	1班
沈橙橙	女		202233210126	2022-09-01	4年		440304200406093123		材料与能源学院	材料化学	1班
黄伊蓝	女		202233210111	2022-09-01	4年		440432200409024325		材料与能源学院	材料化学	1班
周筱汐	女		202233210125	2022-09-01	4年		440432200403146546		材料与能源学院	材料化学	1班     
冯程		男		202233210116	2022-09-01	4年		440847200405268492		材料与能源学院	材料化学	1班        
陈雪		女		202233210202	2022-09-01	4年		440314200302127889		材料与能源学院	材料化学	2班
王鹏		男		202233210226	2022-09-01	4年		440315200303237890		材料与能源学院	材料化学	2班        
李敏		女		202233210209	2022-09-01	4年		440316200304307891		材料与能源学院	材料化学	2班
王书含	女		202233220223	2022-09-01	4年		440432200405068999		材料与能源学院	应用化学	2班
李怡然 	女		202233220209	2022-09-01	4年		440332200409087766		材料与能源学院	应用化学	2班
黄鸣		男		202233220210	2022-09-01	4年		440229200405093331		材料与能源学院	应用化学	2班
梁宛如	女		202233220208	2022-09-01	4年		440432200403043341		材料与能源学院	应用化学	2班
陈末		女		202233220203	2022-09-01	4年		440998200406070099		材料与能源学院	应用化学	2班
张越		男		202233220232	2022-09-01	4年		440445200312212233		材料与能源学院	应用化学	2班
杨北		男		202233220228	2022-09-01	4年		440990200409010097		材料与能源学院	应用化学	2班
张磊天	男		202225230129	2022-09-01	4年		440317200305157892		数学与信息学院	软件工程	1班    
赵芳如	女		202225230130	2022-09-01	4年		440318200306237893		数学与信息学院	软件工程	1班    
周海涛	男		202225230133	2022-09-01	4年		440319200307307894		数学与信息学院	软件工程	1班    
吴婷		女		202225230138	2022-09-01	4年		440320200308157895		数学与信息学院	软件工程	1班
徐明凯	男		202225230131	2022-09-01	4年		440109200405120987		数学与信息学院	软件工程	1班
王斌		男		202225230123	2022-09-01	4年		440201200406274323		数学与信息学院	软件工程	1班
何岁		女		202225240112	2022-09-01	4年		440306200407013240		数学与信息学院	应用数学	1班
刘兴		男		202225240114	2022-09-01	4年		440306200403273123		数学与信息学院	应用数学	1班
吴博文	男		202225240125	2022-09-01	4年		440306200409072131		数学与信息学院	应用数学	1班
周巧生	男		202225240127	2022-09-01	4年		440321200408073123		数学与信息学院	应用数学	1班
陈莹莹	女		202225240102	2022-09-01	4年		440387200405061233		数学与信息学院	应用数学	1班
黄可梦	女		202225240110	2022-09-01	4年		440321200402012431		数学与信息学院	应用数学	1班
赵俊宇	男		202225240130	2022-09-01	4年		440344200407084233		数学与信息学院	应用数学	1班      
黄强		男		202235350310	2022-09-01	4年		440321200309237896		经济管理学院		金融学	3班        
郑敏一	女		202235350332	2022-09-01	4年		440322200310307897		经济管理学院 		金融学	3班        
徐杰		男		202235360329	2022-09-01	4年		440323200311157898		经济管理学院		会计学	3班        
高芳		女		202235360317	2022-09-01	4年		440324200312237899		经济管理学院		会计学	3班        
赵年年	女		202235360327	2022-09-01	4年		440405200312130098		经济管理学院		会计学	3班        
袁新		男		202235360333	2022-09-01	4年		440224200409083213		经济管理学院		会计学	3班        
张连枝	女		202235360331	2022-09-01	4年		440324200408020231		经济管理学院		会计学	3班        
王和曦	女		202235360320	2022-09-01	4年		440312200497235643		经济管理学院		会计学	3班        

